BSN;Name;PLZ;Adresse;Telefon;Fax;eMail;Internet
01G32;Carl-Kraemer-Grundschule;13359;Zechliner Str. 4;499899-3;499899-55;carl-kraemer-grundschule@t-online.de;http://www.carl-kraemer.be.schule.de
01G35;Humboldthain-Grundschule;13355;Grenzstr. 7;467773-30;467773-40;sekretariat@humboldthain-gs.cidsnet.de;http://www.humboldthain-gs.cidsnet.de
01G36;Andersen-Grundschule;13359;Kattegatstr. 26;4930154-10;4930154-20;Andersen-Grundschule@web.de;http://www.andersen.cidsnet.de
01G37;Heinrich-Seidel-Grundschule;13355;Ramlerstr. 9-10;46776692-10;46776692-19;nachricht@seidel-gs.de;http://www.seidel-gs.de
01G38;Gustav-Falke-Grundschule;13355;Strelitzer Str. 42;4677799-60;4677799-74;gfg@gustav-falke-g.cidsnet.de;http://www.gustav-falke-g.cidsnet.de
01G39;Vineta-Grundschule;13355;Demminer Str. 27;4677686-60;4677686-70;info@vineta-grundschule.de;http://www.vineta-grundschule.de
01G40;Möwensee-Grundschule;13351;Afrikanische Str. 123-125;459792-10;45979-233;sekretariat@moewensee-schule.de;http://www.moewensee-schule.de
01G41;Erika-Mann-Grundschule;13347;Utrechter Str. 25-27;450855-10;450855-11;erika-mann-grundschule@t-online.de;http://www.erika-mann-grundschule.com
01G42;Anna-Lindh-Schule (Grundschule);13351;Guineastr. 17-18;453075-30;453075-20;	sekretariat@anna-lindh-schule.de;http://www.anna-lindh-schule.de
01G43;Albert-Gutzmann-Schule (Grundschule);13357;Orthstr. 1;469059-60;469059-70;info@gutzmannschule.de;http://www.gutzmannschule.de
01G44;Allegro-Grundschule;10785;Lützowstr. 83-85;2575727-10;2575727-34;berlin@allegro-grundschule.de;http://www.allegro-grundschule.de
01G45;Leo-Lionni-Grundschule;13353;Müllerstr. 158;4697996-70;4697996-74;info@leo-lionni-grundschule.de;http://www.leo-lionni-grundschule.de
01G46;Grundschule am Koppenplatz;10115;Koppenplatz 12;84712109-10;84712109-20;sekretariat@schuleamkoppenplatz.de;http://www.schuleamkoppenplatz.de
01G47;Miriam-Makeba-Grundschule;10555;Zinzendorfstr. 15-16;394052-10;394052-20;info@miriam-makeba-schule.de;http://www.miriam-makeba-schule.de
01K01;Willy-Brandt-Schule;13357;Grüntaler Str. 5;40394921-20;40394921-70;willy-brandt-oberschule.berlin@t-online.de;http://www.willy-brandt-oberschule.de
01K02;Ernst-Schering-Schule;13353;Lütticher Str. 47-48;453087-10;453087-11;Ernst-Schering-Oberschule.cids@t-online.de;http://www.ernst-schering-schule.de/joomla/
01K03;Ernst-Reuter-Schule;13355;Stralsunder Str. 57;4677799-10;4677799-16;info@ernst-reuter-oberschule.de;http://www.ernst-reuter-oberschule.de
01K04;Heinrich-von-Stephan-Schule (Gemeinschaftsschule);10553;Neues Ufer 6;390631-30;390631-40;hvstephan@web.de;http://www.hvstephan.de
01K06;Herbert-Hoover-Schule (Integrierte Sekundarschule);13357;Pankstr. 18-19;469063-40;469063-44;schulleitung@hhs-berlin.de;http://www.hhs-berlin.de
01K07;Hemingway-Schule;10115;Gartenstr. 10-17;2008922-10;2008922-20;hemingway.schule@gmail.com;http://www.hemingway-oberschule.de
01K08;Schule am Schillerpark (Integrierte Sekundarschule);13349;Ofener Str. 6;457994-50;457994-55;sekretariat@schule-am-schillerpark.de;http://www.Schule-am-Schillerpark.de
01K09;Hedwig-Dohm-Schule (Integrierte Sekundarschule);10559;Stephanstr. 27;383771-31;383771-30;hedwig-dohm-os@web.de;http://www.hedwig-dohm-os.de
01K10;Theodor-Heuss-Gemeinschaftsschule;10559;Quitzowstr. 141 ;398352-10;398352-32;sekretariat@thgberlin.de;http://www.thgberlin.de
01P01;Evangelische Schule Berlin Mitte (Gemeinschaftsschule);10178;Rochstr. 7;707254-82;707254-83;schule@esbm.de;http://www.esbm.de
01P03;Jüdisches Gymnasium Moses Mendelssohn;10115;Große Hamburger Str. 27;7262657-110;7262657-145;info@josberlin.de;http://www.josberlin.de
01P04;Freie Waldorfschule Berlin Mitte;10178;Weinmeisterstr. 16;8009758-0;8009758-14;verwaltung@waldorfschule-mitte.de;http://www.waldorfschule-mitte.de
01P05;Katholische Schule Sankt Paulus (Grundschule);10551;Waldenserstr. 27;3954196;3955032;schulleitung@st-paulus-schule.de;http://www.st-paulus-schule.de
01P06;Canisius-Kolleg (Gymnasium);10785;Tiergartenstr. 30-31;26481-100;26481-164;schulleitung@canisius.de;http://www.canisius.de
01P07;Lazarus Schulen der Hoffnungstaler Stiftung Lobetal;13355;Bernauer Str. 115-118;467052-04;467052-12;S.H.Leich.lazarus-schulen@lobetal.de;http://www.lazarus-schulen.de
01P11;Plan B Altenpflegeschule;10179;Alte Jakobstr. 77;247818577-0;247818577-7;info@planb-bildung.de;http://www.planbgmbh.de
01P13;Freie Schule am Mauerpark (Grundschule);13355;Wolliner Str. 25-26;4202269-0;4202269-1;info@freieschuleberlin.de;http://www.freieschuleberlin.de
01P14;BEST-Sabel Gemeinützige Bildungsgesellschaft;10179;Littenstr. 109;428491-0;428491-20;schule@best-sabel.de;http://www.best-sabel.de
01P16;Berlin Metropolitan School (Integrierte Sekundarschule);10115;Linienstr. 122;8872739-0;8872739-20;info@metropolitanschool.com;http://www.metropolitanschool.coml
01P18;Bilinguale Schule Phorms Berlin Mitte;13355;Ackerstr. 76;4679863-0;4679863-20;berlin-mitte@phorms.de;http://www.berlin-mitte.phorms.de
01P22;Berlin Cosmopolitan School;10119;Rückerstr. 9;6883323-24;6883323-23;office@cosmopolitanschool.de;http://www.cosmopolitanschool.de
01P23;Evangelische Schule Berlin Zentrum (Gemeinschaftsschule);10179;Wallstr. 32;2576071-0;2576071-29;info@ev-schule-zentrum.de;http://www.ev-schule-zentrum.de
01P24;IB-GIS mbH -  Medizinische Akademie Berlin;13347;Gerichtstr. 27;2529209-0;2529209-29;berlin@ib-med-akademie.de;http://www.med-akademie.de
01P25;Internationale Lomonossow-Schule Berlin (Gemeinschaftsschule);10785;Lützowstr. 106;74785-751;74785-547;tiergarten@lomonossow-schule.de;http://www.lomonossow-grundschule.de 
01P33;BBA-Akademie für Immobilienwirtschaft e.V.;10785;Lützowstr. 106 ;230855-0;230855-20;kontakt@bba-campus.de;http://www.bba-campus.de
01P36;BTB Schulzentrum gGmbH;10178;Alexanderstr. 5;2408-3200;2408-7837;info@btb-schulzentrum.de	;http://www.btb-bildungszentrum.de
01P38;G.A.L.B Förderung gGmbH;10555;Zwinglistr. 37;4005989-0;4005989-22;verwaltung@galb.org;http://www.galb.org
01P39;GPB College gGmbH;10117;Beuthstr. 8;390481-0;390481-40;info@gpb-college.de;http://www.GPB-College.de
01P40;Berufsfachschule  Paulo Freire im Zentrum ÜBERLEBEN;10559;Turmstr. 21;30390652;30614371;info@migrationsdienste.org;http://www.vivantes.de
01P42;WWV Bildungsakademie gGmbH;10178;Alexanderstr. 1;5146930;51700472;wwv@wwv-online.de;http://www.abizubi.de
01P43;INHAUS Akademie-Berufsfachschule für Altenpflege;10179;Klosterstr. 64;2400064-0;2400064-10;info@inhaus-berlin.de;http://www.inhaus-berlin.de
01P44;Nestor-Bildungsinstitut;10178;Alexanderstr. 7;24045660;23457407;bfs@nestor-bildung.de;http://www.nestor-bildung.de
01P46;DDA Destiny Diversity Academy GmbH;13355;Brunnenstr. 110 D;7623676-6;7623676-7;info@ddacademy.de;http://www.ddacademy.de.
01P47;Ecole Voltaire (Grundschule);10785;Kurfürstenstr. 53;41100-15;41100-14;verein@ecolevoltaire.de;http://www.ecolevoltaire.de
01P48;meco Akademie GmbH;13347;Seestr. 64;810058-20;810058-24;info@meco-akademie.de;http://www.meco-akademie.de
01P49;Quinoa-Schule Freie Sekundarschule Berlin Wedding;13409;Kühnemannstr. 26;98322410-0;98322410-9;info@quinoa-bildung.de;http://www.quinoa-bildung.de
01P50;Kristall Grundschule - Inklusive Grundschule in freier Trägerschaft;13353;Tegeler Str. 13;308738-41;308738-50;iggs-berlin@tjfbg.de;http://www.tjfbg.de
01P51;mediencollege Berlin gGmbH;10115;Invalidenstr. 17;288730-93;288730-94;office@mediencollege-berlin.de;http://www.mediencollege-berlin.de
01S01;Schule am Zille-Park;13347;Ravenéstr. 10-12;460617-401;460617-404; info@schule-am-zille-park.de;http://www.schule-am-zille-park.de
01S05;Schule in der Charité;13353;Augustenburger Platz 1;450566-592;450566-932;schule.idc@charite.de;http://www.klinikschule-charite.de
01S06;Albert-Gutzmann-Schule;13357;Orthstr. 1;469059-60;469059-70;schulleitung@gutzmannschule.de;http://www.gutzmannschule.de
01S07;Charlotte-Pfeffer-Schule;10178;Berolinastr. 8;246574-0;246574-28;charlotte-pfeffer-schule@gmx.de;http://www.charlotte-pfeffer.schule-berlin.net
01Y02;John-Lennon-Gymnasium;10119;Zehdenicker Str. 17;405001-10;405001-20;jlgym@t-online.de;http://www.jlgym-berlin.de
01Y04;Musikgymnasium Carl Philipp Emanuel Bach;10115;Rheinsberger Str. 4-5;405058-30;405058-50;bach.musikgymnasium@berlin.de;http://www.musikgymnasium-berlin.de
01Y07;Französisches Gymnasium;10785;Derfflingerstr. 7;257589-10/11;257589-19;clehmann@fg-berlin.eu;http://www.fg-berlin.eu
01Y08;Lessing-Gymnasium;13349;Schöningstr. 17;457985-10;457985-16;post@lessing-gymnasium-berlin.de;http://www.lessing-gymnasium-berlin.eu
01Y09;Diesterweg-Schule (Gymnasium);13357;Böttgerstr. 2-6;463096-20;463096-30;sekretariat@diesterweg.cidsnet.de;http://www.diesterweg.cidsnet.de
01Y11;Max-Planck-Schule (Gymnasium);10179;Singerstr. 8 A;8471188-30;8471188-40;sekretariat@mpg-berlin.de;http://www.mpg-berlin.de
01Y12;Gymnasium Tiergarten;10555;Altonaer Str. 26;3980097-10;3980097-22;sekretariat@gymnasium-tiergarten.de;http://gymnasium-tiergarten.de
02B01;August-Sander-Schule;10245;Naglerstr. 1-3;2936276-0;2936276-20;schulbuero@august-sander-schule.de;http://www.august-sander-schule.de
02B02;Hans-Böckler-Schule (OSZ Konstruktionsbautechnik);10969;Lobeckstr. 76;616705-10;616705-99;info@osz-kt.de;http://www.osz-kt.de
02B03;OSZ Bekleidung und Mode;10969;Kochstr. 9;253915-11;253915-15;info@osz-bekleidung-mode.de;http://www.osz-bekleidung-mode.de
02B04;OSZ Handel 1;10997;Wrangelstr. 98;611296-0;611296-15;leitung@oszhandel1.de;http://www.oszhandel.de
02B05;Jane-Addams-Schule (OSZ Sozialwesen);10249;Straßmannstr. 14-16;420276-0;420276-321;kontakt@osz-soz.de;http://www.osz-soz.de
02G01;Spartacus-Grundschule;10249;Friedenstr. 40-45;4202493-0;4202493-7;schulleitung@grundschule-friedrichshain.de;http://www.grundschule-friedrichshain.de
02G02;Hausburg-Grundschule;10249;Hausburgstr. 20;9395676-0;9395676-15;sek@hausburg-gs.schule-berlin-fk.de;http://www.hausburgschule.de
02G03;Justus-von-Liebig-Grundschule;10247;Liebigstr. 18A;4472832-11;4472832-15;02g03@02g03.schule.berlin.de;http://www.justus-von-liebig-gs.cidsnet.de
02G04;Pettenkofer-Grundschule;10247;Pettenkoferstr. 20-24;32298119-11;32298119-15;sekretariat@pettenkofer-grundschule.de;http://www.pettenkofer-grundschule.de
02G07;Ludwig-Hoffmann-Grundschule;10243;Lasdehner Str. 21-23;2934742-11;2934742-15;sl@l.hoffmann-gs.schule-berlin-fk.de;http://www.ludwig-hoffmann-gs.cidsnet.de
02G08;Grundschule am Traveplatz;10247;Jessnerstr. 24-32;4848800-0;4848800-30;info@grundschule-am-traveplatz.de ;http://www.grundschule-am-traveplatz.de
02G09;Zille-Grundschule;10245;Boxhagener Str. 46;4848804-23;4848804-49;schulleitung@zille-grundschule.de;http://www.Zille-Grundschule.de
02G10;Modersohn-Grundschule;10245;Niemannstr. 3;48488340;4848834127;modersohn-grundschule.berlin@t-online.de;http://www.modersohn-schule.de
02G11;Thalia-Grundschule;10245;Alt-Stralau 34;2934783-0;2934783-15;thalia-grundschule@t-online.de;http://www.thalia-grundschule.cidsnet.de
02G12;Kurt-Schumacher-Grundschule;10969;Puttkamerstr. 19;50585931;50585915;ksg@kurt-schumacher-gs.cidsnet.de;http://www.kurt-schumacher-grundschule.de
02G13;Charlotte-Salomon-Grundschule;10965;Großbeerenstr. 40;505875-11;505875-15;buero@salomon.cidsnet.de;http://www.charlotte-salomon-grundschule.de
02G14;Galilei-Grundschule;10969;Friedrichstr. 13;505858-11;505858-15;sekretariat@galilei-grundschule.de;http://www.galilei-grundschule.de
02G16;Lenau-Grundschule;10961;Nostitzstr. 60;81858811;81858815;info@lenau.net;http://lenau.net
02G18;Nürtingen-Grundschule;10997;Mariannenplatz 28;61784231;61784235;sekretariat@nuertingen-grundschule.de;http://www.nuertingen-grundschule.de
02G19;Fanny-Hensel-Grundschule;10963;Schöneberger Str. 23;505868-11;505868-15;info@fanny-hensel-grundschule.de;http://www.Fanny-Hensel-Grundschule.de
02G20;Bürgermeister-Herz-Grundschule;10961;Wilmsstr. 10;31987022-11;31987022-15;verwaltung@bmh-schule.de;http://www.bmh-schule.de
02G21;Reinhardswald-Grundschule;10961;Gneisenaustr. 73-74;690372-11;690372-15;sek@reinhardswald-gs.schule-berlin-fk.de;http://www.reinhardswald-grundschule.cidsnet.de
02G22;Jens-Nydahl-Grundschule;10999;Kohlfurter Str. 20;50586111;50586115;SEK@J.Nydahl-GS.Schule-Berlin-FK.de;http://www.jng.cidsnet.de
02G23;Fichtelgebirge-Grundschule;10997;Görlitzer Ufer 2;225028-11;225028-15;SL@Fichtelgebirge-GS.Schule-Berlin-FK.de;http://www.fichtelgebirge-gs.cidsnet.de
02G24;Otto-Wels-Grundschule;10969;Alexandrinenstr. 12;505853-11;505853-15;buero@owg-berlin.de;http://www.owg-berlin.de
02G26;Lemgo-Grundschule;10967;Böckhstr. 5;50585711;50585715;post@lemgo-grundschule.de;http://www.lemgo-grundschule.de
02G27;Hunsrück-Grundschule;10999;Manteuffelstr. 79;2250 3111;2250 3115;schulleitung@hunsrueck-grundschule.de;http://www.Hunsrueck-Grundschule.de
02G29;Heinrich-Zille-Grundschule;10997;Waldemarstr. 118;225036-11;225036-15;Heinrich-Zille-GS@web.de;http://www.Heinrich-Zille-Grundschule.de
02G31;Adolf-Glaßbrenner-Grundschule;10965;Hagelberger Str. 34;50587531;50587535;Adolf-Glassbrenner-Schule@web.de;http://www.Adolf-Glassbrenner-Schule.cidsnet.de
02G32;Clara-Grunwald-Grundschule;10963;Hallesche Str. 24;818883-11;818883-15;clara-grunwald-gs@gmx.de;http://www.clara-grunwald.cidsnet.de
02G33;Aziz-Nesin-Grundschule;10961;Urbanstr. 15;9029837-31;9029837-35;info@aziz-nesin-g.cidsnet.de;http://www.aziz-g.cidsnet.de
02G34;34. Schule (Grundschule);10247;Scharnweberstr. 19;24647892-11;24647892-15;sek@34-gs.schule-berlin-fk.de;
02G35;Rosa-Parks-Grundschule;10999;Reichenberger Str. 65;225025-11;225025-15;mail@rosa-parks-grundschule.de;http://www.rosa-parks-grundschule.de
02G36;36. Schule (Grundschule);10243;Andreasstr. 50;3198702911;3198702915;;
02K01;Ellen-Key-Schule;10243;Rüdersdorfer Str. 20-28;29773060;2977306215;sek@e.key-os.schule-berlin-fk.de;http://www.eko-online.net
02K02;Carl-von-Ossietzky-Schule (Gemeinschaftsschule);10961;Blücherstr. 46;22502771-11;22502771-15;verwaltung@cvo-berlin.de;http://www.cvo-berlin.de
02K03;Hector-Peterson-Schule;10963;Tempelhofer Ufer 15;50587711;50587715;sekretariat@hps-berlin.schule;www.hps-berlin.schule
02K04;Lina-Morgenstern-Schule (Gemeinschaftsschule);10961;Gneisenaustr. 7;818587-11;818587-15;schulleitung@lmg-kreuzberg.de;http://lina-morgenstern-gemeinschaftsschule.de
02K05;Schule am Königstor (Integrierte Sekundarschule);10249;Weinstr. 3;4472834-11;4472834-15;sek@koenigstor-os.schule-berlin-fk.de;http://www.sekundarschule-weinstrasse.cidsnet.de
02K06;Emanuel-Lasker-Schule;10245;Modersohnstr. 53;2910807;29669216;info@emanuel-lasker-os.cidsnet.de;http://www.emanuel-lasker-os.cidsnet.de
02K07;Georg-Weerth-Schule;10249;Eckertstr. 16a;2465672-11;2465672-15;info@georg-weerth-schule.de;http://www.georg-weerth-schule.de
02K08;Refik-Veseli-Schule (Integrierte Sekundarschule);10997;Skalitzer Str. 55;225035-11;225035-15;sekretariat@refik-veseli-schule.eu;http://www.schule-skalitzer.de
02K09;Albrecht-von-Graefe-Schule (Integrierte Sekundarschule);10967;Graefestr. 85;505860-11;505860-15;sekretariat@graefemail.de;http://www.albrecht-von-graefe-schule.de
02K10;Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule);10961;Bergmannstr. 64;505856-11;505856-15;Sek@F.Freiligrath-OS.Schule-Berlin-Fk.de;http://ferdinand-freiligrath-schule.de
02P02;DRK-Schule für soziale Berufe Berlin gGmbH;10243;Warschauer Str. 34-36;293480-0;293480-29;info@drk-fsa.de;http://www.drk-fsa.de
02P03;Islamische Grundschule;10967;Boppstr. 4;69507860;69507861;igs.berlin@t-online.de;http://www.islamische-grundschule.de
02P04;Freie Waldorfschule Kreuzberg;10969;Ritterstr. 78;6151010-0;6151010-19;info@waldorfschule-kreuzberg;http://www.waldorfschule-kreuzberg.de
02P05;Fachschulen der Stiftung SPI Berlin;10963;Hallesches Ufer 32-38;2593739-0;2593739-50;fachschulen@stiftung-spi.de;http://www.spi-fachschulen.de
02P07;Campus Berufsbildung e.V.;10969;Friedrichstr. 231;259318-77;259318-79;bgym@campus-bb.de;http://www.campus-bb.de
02P09;Freie Schule Kreuzberg (Grundschule);10997;Wrangelstr. 128 ;69535365;61651125;roland.meyer@freieschulekreuzberg.de;http://freieschulekreuzberg.de
02P10;Vitanas Akademie gGmbH;10243;Warschauer Str. 39-40;549886-0;549886-10;akademie@vitanas.de;http://www.vitanas.de
02P11;Berlin Bilingual School (Grundschule);10249;Weinstr. 1-3;275829-15;275829-13;cornelia.donner@berlin-bilingual.de;http://www.berlin-kids-international.de
02P12;Kreativitätsschulzentrum Berlin gGmbH;10243;Strausberger Str. 38;29035117;29039449;schule-fh@krea-schulzentrum.de;http://www.krea-schulzentrum.de
02P13;Netzwerk-Schule (Gemeinschaftsschule);10243;Marchlewskistr. 40;40393340;25769700;schule@netzwerkspielkultur.de;http://www.netzwerkspielkultur.de/schule
02P14;Freie Fachschule für Sozialpädagogik Berlin;10969;Besselstr. 13-14;259271-44;259271-43;post@freie-fachschule-berlin.de;http://freie-fachschule-berlin.de
02P16;BWK Berufsfachschule für Altenpflege;10997;Cuvrystr. 34;617929-0;617929-37;kontakt@bwk-berlin.de;http://www.bwk-berlin.de
02P19;FORUM Berufsbildung e.V.;10969;Charlottenstr. 2;259008-0;259008-10;info@forum-berufsbildung.de;http://www.forum-berufsbildung.de
02P20;WBS Training Schulen gGmbH;10247;Voigtstr. 3;24326902;34727919;schulen.berlin@wbs-schulen.de;http://www.wbs-schulen.de
02P22;Pro Inklusio-Fachschule für Sozialpädagogik;10997;Muskauer Str. 53;20078010;20078465;info@procedo-berlin.com;http://www.procedo-berlin.com
02P23;Concept Berufsfachschulen gGmbH;10245;Revaler Str. 100 ;484858-50;484858-68;info@concept-berlin.de;http://www.concept-berlin.de
02P25;Evangelische Schule Berlin Friedrichshain (Grundschule);10249;Petersburger Platz 5;32296700;32297730;info@ev-schule-friedrichshain.de;http://www.ev-schule-friedrichshain.de
02P26;VIA-Berufsfachschule für Altenpflege;10969;Axel-Springer-Str. 42;253739-27;253739-33;u.klotz@via-berlin.de;http://www.via-berufsfachschule.de
02S01;Schule am Friedrichshain;10243;Lasdehner Str. 19;293474-231;293474-235;sl@schule-am-friedrichshain.schule-berlin-fk.de;http://www.schule-am-friedrichshain.schule-berlin.net
02S02;Gustav-Meyer-Schule;10999;Kohlfurter Str. 22;50586131;50586135;Sek@g.meyer-sos.schule-berlin-fk.de;http://www.gustav-meyer-schule.cidsnet.de
02S03;Margarethe-von-Witzleben-Schule;10243;Palisadenstr. 76-77;420249-209;420249-215;kontakt@witzleben.schule-berlin-fk.de;http://www.witzleben-schule.de
02S06;Liebmann-Schule;10969;Friedrichstr. 13;505858-31;505858-35;sl@liebmann-sos.schule-berlin-fk.de;http://www.liebmann-schule.cidsnet.de
02Y01;Andreas-Oberschule;10243;Koppenstr. 76;2936902-0;2936902-199;buero@andreas-schule.org;http://www.andreas-gym.de
02Y03;Heinrich-Hertz-Oberschule;10247;Rigaer Str. 81-82;42262080;422620884;Sek@H.Hertz-OS.Schule-Berlin-FK.de;http://www.heinrich-hertz-schule.de
02Y04;Georg-Friedrich-Händel-Gymnasium;10247;Frankfurter Allee 6 A;22502790-11;22502790-15;sekretariat@haendelgym.de;http://www.haendelgym.de
02Y05;Dathe-Gymnasium;10243;Helsingforser Str. 11-13;2936063;293606415;sek@dathe-oberschule.cidsnet.de;http://www.dathe-oberschule.de
02Y06;Leibniz-Gymnasium;10961;Schleiermacherstr. 23;505867-11;505867-15;Leibniz-Oberschule@t-online.de;http://www.leibnizschule-berlin.de
02Y07;Robert-Koch-Gymnasium;10967;Dieffenbachstr. 60;50585731;50585735;Koch-Gymnasium@web.de;http://www.Robert-Koch-Oberschule.de
02Y08;Hermann-Hesse-Oberschule;10967;Böckhstr. 16;505860-31;505860-35;kontakt@hesse-kreuzberg.de;http://www.b.shuttle.de/hhos
03A04;Abendgymnasium Prenzlauer Berg;10439;Driesener Str. 22;4254218;4250121;mail@abendgymnasium-berlin.de;http://www.abendgymnasium-berlin.de
03A05;Volkshochschule Pankow;10409;Hanns-Eisler-Str. 78-80;40048437;;ZBW-Pankow@gmx.de;
03B02;Berufliche Schule für Sozialwesen Pankow;13158;Erbeskopfweg 6-10;500199-10;500199-24;sekretariat@schule-sozialwesen-pankow.de;http://www.beruflicheschulefuersozialwesenpankow.cidsnet.de/
03B03;Martin-Wagner-Schule (OSZ Bautechnik II);13086;Gustav-Adolf-Str. 66;912052-105;912052-104;verwaltung@oszbau2.de;http://www.oszbau2.de
03B04;Brillat-Savarin-Schule (OSZ Gastgewerbe);13088;Buschallee 23 A;914266-0;914266-220;sekretariat@osz-gastgewerbe.de;http://www.osz-gastgewerbe.de
03B06;Konrad-Zuse-Oberschule;13156;Hermann-Hesse-Str. 34/36;9160940;9165691;sekretariat@konrad-zuse-schule-berlin.de;http://www.konrad-zuse-schule-berlin.de
03B07;Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen);10409;Mandelstr. 6-8;421854-11;421854-12;info@oszeos.de;http://www.oszeos.de
03B08;Staatliche Ballettschule Berlin und Schule für Artistik;10409;Erich-Weinert-Str. 103;405779-0;405779-19;schulleitung@ballettschule-berlin.de;http://www.ballettschule-berlin.de
03B09;Marcel-Breuer-Schule (OSZ Holztechnik, Glastechnik und Design);13086;Gustav-Adolf-Str. 66;9120521-75;9120521-74;info@marcel-breuer-schule.de;http://www.marcel-breuer-schule.de
03G01;Schule am Hamburger Platz (Grundschule);13086;Gustav-Adolf-Str. 21;9246762;92091818;info@schule-am-hamburger-platz.de;http://www.schule-am-hamburger-platz.de
03G02;Heinrich-Roller-Grundschule;10405;Heinrich-Roller-Str. 18;4425674;44039188;heinrich-roller-grundschule@t-online.de;http://www.Heinrich-Roller-Grundschule.de
03G03;Grundschule am Kollwitzplatz;10435;Knaackstr. 67;44377100;44377108;gsak.seki@gmx.net;http://www.gs-am-Kollwitzplatz.cidsnet.de
03G04;Grundschule an der Marie;10405;Christburger Str. 7;40301298;24627804;GS.5.PB@t-online.de;http://www.schule-an-der-Marie.de
03G05;Homer-Grundschule;10407;Pasteurstr. 10-12;4250575;4250177;post@homergs.de;http://www.homer-grundschule.de
03G06;Bötzow-Grundschule;10407;John-Schehr-Str. 38;42851032;42851034;info@boetzow-grundschule.de;http://www.boetzow-grundschule.de
